id,word_vocalized,word_clean,root,pos,fusha_equivalent,definition,region,synonyms,phonetic_variants,note,source,examples,proverbs,tags
1,أُمّ حُبَيْل,ام حبيل,حبل,Noun,العنكبوت,اسم يطلقه الحضارم على حشرة العنكبوت.,General,"[""عنكبوت""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""h"": """", ""f"": ""انظر، العنكبوت بنت بيتها في الزاوية.""}, {""h"": ""ميل أم حبيل من السقف."", ""f"": ""أزل العنكبوت من السقف.""}]",[],"[""Nature"", ""Insects""]"
2,إبِطْ,ابط,بطأ,Noun,التباطؤ والتريث,التأني وعدم الاستعجال في الأمر، ويستخدم غالباً في سياق الحث على الدقة.,General,"[""تأني"", ""تريث""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""h"": ""إبط في شغلك تسرع في الإنجاز."", ""f"": ""تأنَّ في عملك تنجزه أسرع (بجودة).""}, {""h"": ""لا تتهور، الإبط خير لك."", ""f"": ""لا تتهور، فالتريث خير لك.""}]","[""إبط تسرع"", ""في التأني السلامة وفي العجلة الندامة""]","[""Behavior"", ""Wisdom""]"
3,الأَمَات,الامات,أمم,Noun,المشيمة,الغشاء أو الكيس الذي يخرج مع الجنين عند الولادة.,General,"[""خلاص""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""h"": ""خرجت الأمات بعد الولادة مباشرة."", ""f"": ""خرجت المشيمة بعد الولادة مباشرة.""}]",[],"[""Biology"", ""Medical""]"
4,أَبُوي,ابوي,أبو,Noun,الأب أو الوالد,لفظ يطلق على الأب، والواو ضرورية في نطقها فلا يقال (أبي)، وللمنادى يقال: أباه أو يابوي.,General,"[""أباه"", ""يابه"", ""باه""]",[],تختلف صيغ المنادى حسب المنطقة والقبيلة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""h"": ""أبوي راح السوق الصبح."", ""f"": ""والدي ذهب إلى السوق في الصباح.""}, {""h"": ""يا بوي بغيتك في كلمة."", ""f"": ""يا أبي أريدك في موضوع.""}]",[],"[""Social Customs"", ""Family""]"
5,أُبّب,ابب,أبب,Expression,تعبير عن التأكد الشديد أو الاندهاش,لفظة سماعية تستخدم للتأكيد أو المبالغة أو إظهار الاستغراب والاندهاش.,General,"[""أبببب""]",[],تتكرر الباء حسب درجة المبالغة المطلوبة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 7,"[{""h"": ""أُبب أنا معاكم وراكم."", ""f"": ""أنا معكم بكل تأكيد.""}, {""h"": ""أُببببب شوف هذا الجبل ما أطوله."", ""f"": ""يا للهول، انظر إلى طول هذا الجبل.""}]",[],"[""Emotions"", ""Expressions""]"
6,أَبَداً,ابدا,أبد,Expression,للنفي القاطع,تستخدم للنفي القاطع وتأتي منونة في الغالب.,General,"[""أبد""]",[],البعض ينطقها (أبد) بدون تنوين.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 8,"[{""h"": ""ابدا ما قد خرجت الشارع اليوم."", ""f"": ""لم أخرج إلى الشارع اليوم أبداً.""}, {""h"": ""ابدا ما قد حصل كذا."", ""f"": ""لم يحدث مثل هذا الأمر قط.""}]",[],"[""Daily Life""]"
7,أَثَرَه,اثره,أثر,Expression,تبيّن أو اتضح أن..,تعبير يستخدم عندما يتبين خلاف ما كان يُظن أو يُتوقع.,General,"[""أتاريه""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 8,"[{""h"": ""دورت عليه في المكلا أثره سافر."", ""f"": ""بحثت عنه في المكلا واتضح لي أنه سافر.""}, {""h"": ""صدقتك أثرك تكذب."", ""f"": ""صدقتك بينما الحقيقة أنك تكذب.""}]",[],"[""Daily Life""]"
8,أَثَّر,اثر,أثر,Verb,ترك أثراً أو نتيجة,بمعنى ترك انطباعاً أو علامة، أو تأثر بشخص أو قضية.,General,[],[],تأتي بتشديد الثاء.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 8,"[{""h"": ""أثّر عليه صديقه في الدراسة."", ""f"": ""تأثر بصديقه في الدراسة.""}, {""h"": ""هذا الولد ما يتأثر فيه الضرب."", ""f"": ""هذا الولد لا تنفع معه وسيلة التأديب الجسدية.""}]",[],"[""Daily Life"", ""Behavior""]"
9,إِثّم,اثم,أثم,Noun,الفم,لفظ يطلق على فم الإنسان في اللهجة الحضرمية.,General,"[""ثمة""]",[],يستخدم أحياناً في سياق ذم كثرة الكلام.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""h"": ""سالمين إثّمه ملاَن بالكلام."", ""f"": ""سالمين لديه رغبة شديدة في الحديث.""}, {""h"": ""إثّمه مفتوحة على الناس."", ""f"": ""لسانه منطلق في غيبة الناس.""}]","[""إيدي في إثمه وصبعه في عيني""]","[""Biology"", ""Emotions""]"
10,أَرْبِيِه,اربيه,ربى,Noun,التهاب غدي في الفخذ,تصلبات وآلام عضلية في منطقة الفخذ (بجانب العانة) تصاحبها حمى، تنتج غالباً عن جرح أو حقنة غير صحيحة.,General,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 8,"[{""h"": ""مسكين الولد جت له أربيه من الابره."", ""f"": ""أصيب الولد بالتهاب في الفخذ بسبب الحقنة.""}]",[],"[""Medical""]"
