ID,الكلمة الحضرمية,الفصحى,الشرح الكامل
1,أم حبيل,العنكبوت,العنكبوت.
2,إبط,التباطؤ والتريث,وهو التباطؤ والتريث ،والمثل القائل):إبط تسرع( ،وهو يوافق المثل العربي القائل) :في التأني السلامة وفي العجلة الندامة(.
3,آل,أداة انتساب وتعريف,أداة إشارة و انتساب فنقول ) :آل فلان( )آل الشرج( )آل المكلا( ،وأيضًا لمعرفة الأهل والأصحاب والأسر والقبائل والتجمعات والطوائف والملل وما ينسبون إليه أو يعرفون به ،فنقول)آل بانافع( )آل البلاد( )آل القطن( )آل زمان أول( )آل البحر( )آل بايزيد( )آل الغار الاحمر(.
4,ألأمات,المشيمة - الكيس الخارج مع الجنين,بتشديد الميم ،وهي الكيس الخارج من الجنين عند الولادة.
5,أبوي,الأب أو الوالد,وهو الأب أو الوالد ،والواو لابد منها فهي ضرورية عند نطق هذه الكلمة ،فلا يقال أبي أو البابا ،وأما عندما ينادى الأب فهناك أكثر من كلمة تستعمل مثل أباه ،يابه ،يابوي ،باه وهي تختلف حسب المنطقة وحسب القبيلة.
6,أبب,لفظه لا معنى لها إلا التأكد الشديد أو للتض,وهي لفظه لا معنى لها إلا التأكد الشديد أو للتضخيم والاستغراب أو للمبالغة وللاندهاش ،وهي لفظه سماعية فقط ،فمثلاً للتأكيد نقول) :أُبب أنا معاكم أو وراكم( ،وللمبالغة والتأكيد الشديد وللتضخيم نقول) :أُبب كبير أو أُبب طويل قصير( ،وتتكرر الباء في هذه اللفظة كثيراً حسب التأكيد الشديد وزيادة المبالغة فيقال) :أُببببب.(
7,أبدا,للنفي القاطع,وهي للنفي القاطع ،وتنطق منونةً في اللهجة الحضرمية ،فيقال ) :أبداً ما جلست أو أبداً ما قد خرج الشارع أو ما قد لعبت كرة( ،وينطقها البعض فيقول) :ابد ما قد حصل كذا ، ( ...بدون تنوين.
8,أثره ، أثرك,حسبته في المكلا وضننته فيها,يقال ):بحثت عنه في المكلا أثرة سافر( ،أي حسبته في المكلا وضننته فيها ،أي تبين واتضح انه سافر ،ويقال ) :صدقتك أثرك تكذب( ويعني أنك تكذب .
9,أثر,نتيجة تذكر,يعني ترك عليه انطباعاً مغاير جديداً وعلامة ،يقال ) :أثّر عليه صديقه أو أثَّرت عليه القضية( ) ،بتشديد الثاء( ) ،وما يتأثر فيه الضرب( ،أي لا ينفع معه التأديب لأنه لا يأتي معه بأي نتيجة تذكر .
10,أثم,إن فمه حجمه كبير,وهو فم الإنسان ،يقال ):سعِيد إثّمه كَبير( ،أي إن فمه حجمه كبير ،ويقال أيضاً ) :سالمين إثّمه ملاَن بالكَلام ( ،يعني انه لديه الرغبة والاستعداد بالحديث ،ويقال ):إثّمه مفْتوحة( ،أي انه اعتاد على غيبة الناس والطن والجرح فيهم والمثل القائل ):إيدي في إثمُه وصبعه في عيني(.
